-21504	1
-20992	2
-20480	3
-19968	11
-19456	12
-18944	13
-18432	16
-17920	15
-17408	38
-16896	66
-16384	93
-15872	105
-15360	150
-14848	206
-14336	293
-13824	394
-13312	525
-12800	714
-12288	973
-11776	1242
-11264	1757
-10752	2392
-10240	3251
-9728	4138
-9216	5537
-8704	6955
-8192	9142
-7680	11408
-7168	14251
-6656	17334
-6144	21485
-5632	25287
-5120	31059
-4608	35725
-4096	42866
-3584	47627
-3072	55876
-2560	61480
-2048	68379
-1536	73655
-1024	78667
-512	79180
0	76204
512	71001
1024	65252
1536	59246
2048	52662
2560	45863
3072	39200
3584	33887
4096	28921
4608	23898
5120	19674
5632	15881
6144	12928
6656	10814
7168	8505
7680	6678
8192	5245
8704	4051
9216	2972
9728	2306
10240	1674
10752	1258
11264	932
11776	768
12288	558
12800	440
13312	296
13824	204
14336	150
14848	105
15360	66
15872	65
16384	42
16896	37
17408	23
17920	17
18432	9
18944	9
19456	6
19968	2
20480	5
20992	5
21504	2
22016	2
24064	2
